case,location,city or county,date,summary,fatalities,injured,total_victims,venue,prior signs of mental health issues,mental health - details,weapons obtained legally,where obtained,type of weapons,weapon details,race,gender,sources,mental health sources,latitude,longitude,type,year
,Maryland,Baltimore,9/24/16,Greenmount Avenue and Preston Street,0,8,8,,,,,,,,,,,,,,,
,Washington,Burlington,9/23/16,201 Cascade Mall Dr,5,0,5,,,,,,,,,,,,,,,
,Pennsylvania,Philadelphia,9/18/16,3001 Castor Avenue,0,4,4,,,,,,,,,,,,,,,
,Virginia,Lynchburg,9/18/16,421 Rivermont Ave,1,3,4,,,,,,,,,,,,,,,
,Pennsylvania,Pittsburgh,9/18/16,1700 block of Brighton Place,0,4,4,,,,,,,,,,,,,,,
,Florida,Miami,9/17/16,20582 SW 119th Ave,0,6,6,,,,,,,,,,,,,,,
,Florida,Orlando,9/17/16,3918 Columbia St,1,6,7,,,,,,,,,,,,,,,
,Indiana,Indianapolis,9/17/16,2016 West 76th Street,2,2,4,,,,,,,,,,,,,,,
,District of Columbia,Washington,9/17/16,2600 block of Birney Place SE,2,7,9,,,,,,,,,,,,,,,
,Pennsylvania,Philadelphia,9/16/16,5100 block of Sansom St,2,5,7,,,,,,,,,,,,,,,
,California,Los Angeles,9/16/16,555 N Heliotrope Dr,2,2,4,,,,,,,,,,,,,,,
,Texas,Humble,9/14/16,16000 block of Saybrook,1,3,4,,,,,,,,,,,,,,,
,Indiana,Fort Wayne,9/13/16,1723 E Wayne St,3,2,5,,,,,,,,,,,,,,,
,Indiana,Fort Wayne,9/11/16,3006 Holton Avenue,3,1,4,,,,,,,,,,,,,,,
,Louisiana,New Orleans,9/11/16,2349 S Claiborne Ave,1,5,6,,,,,,,,,,,,,,,
,New Jersey,Jersey City,9/11/16,87 Van Wagenen Ave,1,3,4,,,,,,,,,,,,,,,
,Missouri,Kansas City,9/11/16,500 block of Westport Rd,0,6,6,,,,,,,,,,,,,,,
,Michigan,Saginaw,9/11/16,2207 Pierce Road,0,5,5,,,,,,,,,,,,,,,
,North Carolina,New Bern,9/11/16,1100 block of Highway 70,0,5,5,,,,,,,,,,,,,,,
,Florida,Miami,9/10/16,3451 Northwest 36 Street,1,3,4,,,,,,,,,,,,,,,
,Texas,Del Valle,9/8/16,8330 Linden Rd,4,0,4,,,,,,,,,,,,,,,
,Arkansas,Hot Springs National Park (Hot Springs),9/8/16,300 block of Lacey St,1,4,5,,,,,,,,,,,,,,,
,Illinois,Chicago,9/5/16,2700 block of W Lexington Ave,2,3,5,,,,,,,,,,,,,,,
,Pennsylvania,Reading,9/5/16,600 block of Moss Street,0,4,4,,,,,,,,,,,,,,,
,Virginia,Roanoke,9/4/16,1020 Orange Ave NE,1,10,11,,,,,,,,,,,,,,,
,Illinois,Chicago,9/3/16,100 block of North Seeley Avenue,0,4,4,,,,,,,,,,,,,,,
,North Carolina,Wilmington,9/3/16,600 block of North 30th Street,1,3,4,,,,,,,,,,,,,,,
,Georgia,Atlanta,8/30/16,400 Merritts Avenue NE,0,4,4,,,,,,,,,,,,,,,
,Illinois,Chicago,8/30/16,6800 block of South Ashland,0,4,4,,,,,,,,,,,,,,,
,New Jersey,Egg Harbor City,8/29/16,907 White Horse Pike,1,5,6,,,,,,,,,,,,,,,
,California,Temecula,8/29/16,41450 Cruz Way,5,0,5,,,,,,,,,,,,,,,
,Texas,Lubbock,8/28/16,2200 block of 17th St,0,6,6,,,,,,,,,,,,,,,
,New York,Bronx,8/28/16,514 E 156th St,0,4,4,,,,,,,,,,,,,,,
,Missouri,St. Louis,8/28/16,S Grand Blvd and Montana St,2,2,4,,,,,,,,,,,,,,,
,Alabama,Dadeville,8/28/16,512 E Columbus St,0,5,5,,,,,,,,,,,,,,,
,Alabama,Bessemer (Brighton),8/27/16,3810 7th Ave,1,6,7,,,,,,,,,,,,,,,
,Florida,Miami,8/27/16,1900 block of NW 83rd Terr,2,4,6,,,,,,,,,,,,,,,
,New Jersey,Bridgeton,8/25/16,Marion Street,0,5,5,,,,,,,,,,,,,,,
,Massachusetts,Boston,8/21/16,Westview and Stratton Street,0,4,4,,,,,,,,,,,,,,,
,Connecticut,Bridgeport,8/21/16,19 Plymouth St,0,13,13,,,,,,,,,,,,,,,
,Connecticut,Hamden,8/20/16,903 Dixwell Ave,0,4,4,,,,,,,,,,,,,,,
,Washington,Tacoma,8/20/16,900 block of Pacific Avenue,0,5,5,,,,,,,,,,,,,,,
,Alabama,Citronelle,8/20/16,Jim Platt Road,5,0,5,,,,,,,,,,,,,,,
,Connecticut,Waterbury,8/18/16,402 E Main Street,0,4,4,,,,,,,,,,,,,,,
,California,Oakland,8/17/16,Mandela Parkway,0,4,4,,,,,,,,,,,,,,,
,Virginia,Norfolk,8/14/16,1600 block of Selden Avenue,0,4,4,,,,,,,,,,,,,,,
,Minnesota,Minneapolis,8/14/16,1717 Plymouth Ave N,0,5,5,,,,,,,,,,,,,,,
,California,Los Angeles,8/13/16,6300 block of 11th Avenue,0,4,4,,,,,,,,,,,,,,,
,Wisconsin,Milwaukee,8/13/16,4001 West Fond Du Lac Ave,2,2,4,,,,,,,,,,,,,,,
,New York,Richmond Hill,8/13/16,Jamaica Ave and 105th St,0,4,4,,,,,,,,,,,,,,,
,Missouri,Joplin,8/13/16,1800 Connecticut Ave,0,4,4,,,,,,,,,,,,,,,
,Florida,Jacksonville,8/12/16,100 block of West 38th Street,1,3,4,,,,,,,,,,,,,,,
,Texas,Dallas,8/12/16,10921 Estate Ln,1,3,4,,,,,,,,,,,,,,,
,Pennsylvania,Philadelphia,8/11/16,500 block of E Ashmead St,0,4,4,,,,,,,,,,,,,,,
,Illinois,Evanston,8/10/16,Foster Street and Jackson Avenue,0,4,4,,,,,,,,,,,,,,,
,California,Sacramento,8/10/16,4000 Green Tree Drive,1,3,4,,,,,,,,,,,,,,,
,New Mexico,Albuquerque,8/8/16,341 General Marshall Street NE,2,2,4,,,,,,,,,,,,,,,
,Florida,Jacksonville,8/8/16,1214 Labelle St,0,7,7,,,,,,,,,,,,,,,
,California,Los Angeles,8/7/16,5925 South Figueroa Street,1,3,4,,,,,,,,,,,,,,,
,Mississippi,Vicksburg,8/7/16,4460 Clay St,1,3,4,,,,,,,,,,,,,,,
,Colorado,Arvada,8/7/16,5400 block of Sheridan Boulevard,2,2,4,,,,,,,,,,,,,,,
,Illinois,Chicago,8/7/16,100 block of South Springfield,0,4,4,,,,,,,,,,,,,,,
,Pennsylvania,Reading,8/6/16,51 Winding Brook Drive,5,0,5,,,,,,,,,,,,,,,
,Michigan,Pontiac,8/5/16,70 block of Thorpe Street,1,3,4,,,,,,,,,,,,,,,
,California,Perris,8/5/16,21600 block of Rider St,2,2,4,,,,,,,,,,,,,,,
,Tennessee,Memphis,8/4/16,Ayers Street and Griffith Avenue,0,4,4,,,,,,,,,,,,,,,
,Georgia,Decatur,8/3/16,4110 Glenwood Road,1,3,4,,,,,,,,,,,,,,,
,Florida,Hollywood,8/2/16,5700 block of Hallandale Beach Blvd,0,4,4,,,,,,,,,,,,,,,
,Indiana,Evansville,8/1/16,South Bedford Avenue,0,4,4,,,,,,,,,,,,,,,
,Florida,Miami,7/31/16,Southwest 203rd Terrace and 115th Avenue,3,1,4,,,,,,,,,,,,,,,
,Texas,Austin,7/31/16,208 E 6th St,1,4,5,,,,,,,,,,,,,,,
,Missouri,St. Louis,7/30/16,5000 block of Kensington Ave,0,5,5,,,,,,,,,,,,,,,
,Georgia,Townsend (Eulonia),7/30/16,14699 Highway 17,0,5,5,,,,,,,,,,,,,,,
,Washington,Mukilteo,7/30/16,10009 Chennault Beach,3,1,4,,,,,,,,,,,,,,,
,Georgia,Athens,7/29/16,Trail Creek St,0,7,7,,,,,,,,,,,,,,,
,New York,Elmira,7/28/16,303 College Ave,0,5,5,,,,,,,,,,,,,,,
,Maryland,Baltimore,7/28/16,Greenmount Avenue,0,4,4,,,,,,,,,,,,,,,
,Illinois,Chicago,7/28/16,800 block of West 50th Place,2,2,4,,,,,,,,,,,,,,,
,Florida,Fort Myers,7/25/16,3580 Evans Ave,2,19,21,,,,,,,,,,,,,,,
,Ohio,Hamilton,7/24/16,1555 Main St,1,7,8,,,,,,,,,,,,,,,
,South Carolina,North Charleston,7/23/16,3630 Ashley Phosphate Road,0,4,4,,,,,,,,,,,,,,,
,New York,Brooklyn,7/23/16,Fountain Avenue,0,4,4,,,,,,,,,,,,,,,
,Ohio,Cincinnati,7/23/16,3400 block of Beekman Street,2,2,4,,,,,,,,,,,,,,,
,Texas,Bastrop,7/23/16,202 Childers Drive,4,1,5,,,,,,,,,,,,,,,
,Illinois,Kankakee,7/22/16,300 block of North Wildwood Avenue,0,5,5,,,,,,,,,,,,,,,
,Illinois,Chicago,7/21/16,4400 block of South Leamington,0,5,5,,,,,,,,,,,,,,,
,California,Fresno,7/20/16,Hedges at Peach and Olive,0,4,4,,,,,,,,,,,,,,,
,Arkansas,West Memphis,7/19/16,13th Street and Tyler Avenue,0,4,4,,,,,,,,,,,,,,,
,Louisiana,Baton Rouge,7/17/16,9611 Airline Highway,4,3,7,,,,,,,,,,,,,,,
,Texas,Houston,7/17/16,6610 Tidwell,1,3,4,,,,,,,,,,,,,,,
,Michigan,Detroit,7/17/16,Grand River and McGraw avenue,0,4,4,,,,,,,,,,,,,,,
,Texas,Dallas,7/16/16,6300 block of Benavides Drive,0,5,5,,,,,,,,,,,,,,,
,Ohio,Cleveland,7/16/16,5000 block of Euclid Avenue,0,5,5,,,,,,,,,,,,,,,
,California,San Bernardino,7/16/16,1200 block of West 25th Street,0,4,4,,,,,,,,,,,,,,,
,California,Bakersfield,7/16/16,621 Stephens Drive,1,14,15,,,,,,,,,,,,,,,
,Tennessee,Clarksville,7/16/16,1348 College Street,0,6,6,,,,,,,,,,,,,,,
,Washington,Woodland,7/15/16,4006 NW 417th Street,3,1,4,,,,,,,,,,,,,,,
,Texas,Crosby,7/14/16,400 block of Pecan Avenue,3,1,4,,,,,,,,,,,,,,,
,California,Oakland,7/14/16,1600 block of 7th Street,0,4,4,,,,,,,,,,,,,,,
,Ohio,Akron,7/14/16,900 block of Moeller Avenue,1,3,4,,,,,,,,,,,,,,,
,Georgia,Warner Robins,7/13/16,105 Magnolia Avenue,0,5,5,,,,,,,,,,,,,,,
,Missouri,St. Louis,7/13/16,3000 block of Miami St,2,2,4,,,,,,,,,,,,,,,
,Maryland,Baltimore,7/11/16,1800 block of W. North Avenue,0,5,5,,,,,,,,,,,,,,,
,Michigan,Jackson,7/11/16,500 block of Summit Avenue,0,4,4,,,,,,,,,,,,,,,
,Michigan,St. Joseph,7/11/16,811 Port St,3,2,5,,,,,,,,,,,,,,,
,District of Columbia,Washington,7/11/16,"5100 block of Call Pl., SE",0,4,4,,,,,,,,,,,,,,,
,Tennessee,Bristol,7/7/16,536 Volunteer Parkway,1,4,5,,,,,,,,,,,,,,,
,Texas,Dallas,7/7/16,800 Main St,5,9,14,,,,,,,,,,,,,,,
,Louisiana,Baton Rouge,7/7/16,2136 North Lobdell Avenue,0,4,4,,,,,,,,,,,,,,,
,California,Los Angeles,7/5/16,56th Street and Naomi Avenue,0,4,4,,,,,,,,,,,,,,,
,Pennsylvania,Pittsburgh,7/4/16,Seventh  Ave and Liberty Ave,0,4,4,,,,,,,,,,,,,,,
,Illinois,Chicago,7/4/16,5500 block of South Hermitage Avenue,0,4,4,,,,,,,,,,,,,,,
,New York,Brooklyn,7/4/16,419 Chauncey Street,0,7,7,,,,,,,,,,,,,,,
,Ohio,Cleveland,7/4/16,1400 block of W. 107 Street,0,4,4,,,,,,,,,,,,,,,
,Texas,Houston,7/4/16,1300 block of Robin,3,2,5,,,,,,,,,,,,,,,
,Arizona,Phoenix,7/4/16,4000 block of West Southern Avenue,2,6,8,,,,,,,,,,,,,,,
,Louisiana,Monroe,7/3/16,401 Lea Joyner Memorial Expy,2,3,5,,,,,,,,,,,,,,,
,Tennessee,Chattanooga,7/3/16,2300 block of Daisy Street,0,4,4,,,,,,,,,,,,,,,
,Illinois,Chicago,6/30/16,9500 block of South Loomis Street,1,4,5,,,,,,,,,,,,,,,
,Nevada,Las Vegas,6/29/16,6100 block of West Lake Mead Boulevard,5,0,5,,,,,,,,,,,,,,,
,California,Los Angeles,6/28/16,13800 block of S Avalon Boulevard,1,3,4,,,,,,,,,,,,,,,
,Illinois,Chicago,6/28/16,1600 block of South Christiana,0,4,4,,,,,,,,,,,,,,,
,Oregon,Woodburn,6/27/16,13436 Killiam Loop NE,3,1,4,,,,,,,,,,,,,,,
,South Carolina,Bennettsville,6/26/16,Highway 38 N,0,4,4,,,,,,,,,,,,,,,
,Georgia,Atlanta,6/26/16,1500 block of Moreland Avenue SE,1,4,5,,,,,,,,,,,,,,,
,Texas,Houston,6/26/16,6000 block of Elm Street,1,3,4,,,,,,,,,,,,,,,
,Texas,Corpus Christi,6/26/16,Baldwin Blvd  and Lamar,0,4,4,,,,,,,,,,,,,,,
,North Carolina,Charlotte,6/26/16,2240 Camp Greene St.,0,5,5,,,,,,,,,,,,,,,
,Texas,Fort Worth,6/25/16,2466 East Lancaster Avenue,2,5,7,,,,,,,,,,,,,,,
,Virginia,Norfolk,6/25/16,700 block of Craig Street,0,4,4,,,,,,,,,,,,,,,
,Illinois,Chicago,6/25/16,1400 block of W. 114th Place,0,4,4,,,,,,,,,,,,,,,
,Kansas,Kansas City,6/24/16,N. 3rd and Walker,0,4,4,,,,,,,,,,,,,,,
,Connecticut,Hartford,6/24/16,Brook and Winter Street,0,5,5,,,,,,,,,,,,,,,
,Maryland,District Heights,6/24/16,3100 block of Orleans Ave,3,2,5,,,,,,,,,,,,,,,
,Washington,Olympia,6/22/16,500 block of Dutterow Road SE,3,1,4,,,,,,,,,,,,,,,
,Georgia,Dekalb (county),6/22/16,Lancashire Drive and Central Drive,1,4,5,,,,,,,,,,,,,,,
,Illinois,Chicago,6/22/16,3100 block of West Warren,0,4,4,,,,,,,,,,,,,,,
,New Jersey,Willingboro,6/21/16,Mosshill Lane,0,4,4,,,,,,,,,,,,,,,
,Kentucky,Louisville,6/21/16,2802 Rodman Street,2,2,4,,,,,,,,,,,,,,,
,Virginia,Roanoke,6/19/16,2328 Melrose Avenue,0,4,4,,,,,,,,,,,,,,,
,Virginia,Exmore,6/18/16,Fredrick Douglas Road,1,3,4,,,,,,,,,,,,,,,
,Georgia,Waycross,6/18/16,2625 Arnold Ct,2,2,4,,,,,,,,,,,,,,,
,Illinois,Chicago,6/18/16,East 79th Street and South Escanaba Avenue,0,4,4,,,,,,,,,,,,,,,
,Delaware,Wilmington,6/14/16,South Van Buren and Elm streets,0,4,4,,,,,,,,,,,,,,,
,California,Oakland,6/14/16,1301 Franklin Street,1,3,4,,,,,,,,,,,,,,,
,California,Fresno,6/13/16,East El Monte Way and Recreation Avenue,0,4,4,,,,,,,,,,,,,,,
,New York,Brooklyn,6/13/16,Avenue D and E. 57th,0,5,5,,,,,,,,,,,,,,,
,Illinois,Chicago,6/13/16,3200 block of West Congress,0,5,5,,,,,,,,,,,,,,,
,Florida,Orlando,6/12/16,1912 S Orange Avenue,50,53,103,,,,,,,,,,,,,,,
,New Mexico,Roswell,6/11/16,2300 block of Davis Ave,5,0,5,,,,,,,,,,,,,,,
,Minnesota,Webster,6/11/16,4000 block of Elmore Avenue,0,4,4,,,,,,,,,,,,,,,
,North Carolina,Charlotte,6/11/16,4000 block of Collegiate Avenue,1,3,4,,,,,,,,,,,,,,,
,California,Stockton,6/11/16,Alvarado Avenue,1,3,4,,,,,,,,,,,,,,,
,California,Panorama City,6/11/16,8500 block of Cedros Avenue,3,2,5,,,,,,,,,,,,,,,
,Florida,Fort Walton Beach,6/9/16,Landview Drive,0,4,4,,,,,,,,,,,,,,,
,District of Columbia,Washington,6/8/16,North Capitol Street and New York Avenue NW,0,4,4,,,,,,,,,,,,,,,
,Massachusetts,Boston,6/8/16,66 Washington St,1,3,4,,,,,,,,,,,,,,,
,California,Visalia,6/6/16,33 60 South Fairway Street,0,4,4,,,,,,,,,,,,,,,
,Minnesota,Minneapolis,6/5/16,8th and Humboldt Avenue N.,0,4,4,,,,,,,,,,,,,,,
,Florida,Cape Coral,6/5/16,2600 block of Skyline Boulevard S,3,3,6,,,,,,,,,,,,,,,
,Arizona,Phoenix,6/5/16,8152 N Black Canyon Hwy,2,4,6,,,,,,,,,,,,,,,
,New York,Brooklyn,6/5/16,Mermaid Ave and 16th St.,0,4,4,,,,,,,,,,,,,,,
,Colorado,Denver,6/4/16,3600 block of Hudson Street,3,1,4,,,,,,,,,,,,,,,
,Illinois,Chicago,5/31/16,3300 block of West Huron Street,0,4,4,,,,,,,,,,,,,,,
,Indiana,Fort Wayne,5/31/16,6600 block of Pawawna Drive,0,4,4,,,,,,,,,,,,,,,
,Maryland,Baltimore,5/30/16,500 block of East 43rd Street,0,5,5,,,,,,,,,,,,,,,
,California,Sacramento,5/30/16,3900 block of 44th,0,5,5,,,,,,,,,,,,,,,
,Nevada,Las Vegas,5/29/16,200 block of N 3rd St,0,4,4,,,,,,,,,,,,,,,
,New Jersey,Trenton,5/29/16,600 block of Martin Luther King Jr. Boulevard,0,6,6,,,,,,,,,,,,,,,
,Indiana,Indianapolis,5/29/16,300 block of South Meridian Street,0,4,4,,,,,,,,,,,,,,,
,Texas,Houston,5/29/16,13210 Memorial Drive,2,6,8,,,,,,,,,,,,,,,
,New Jersey,Newark,5/23/16,102 Isabella Avenue,0,5,5,,,,,,,,,,,,,,,
,Louisiana,New Orleans,5/22/16,8639 Apple St,0,4,4,,,,,,,,,,,,,,,
,California,Stockton,5/22/16,Poplar and Sutter Streets,1,3,4,,,,,,,,,,,,,,,
,Tennessee,Nashville,5/22/16,100 block of Rains Avenue,0,4,4,,,,,,,,,,,,,,,
,Georgia,Jackson,5/21/16,Levi Barnes Road,1,3,4,,,,,,,,,,,,,,,
,Indiana,Indianapolis,5/18/16,34th Street and North Keystone Avenue,0,4,4,,,,,,,,,,,,,,,
,South Carolina,Ravenel,5/17/16,5360 Savannah Highway,3,1,4,,,,,,,,,,,,,,,
,Indiana,Evansville,5/15/16,420 North Garvin Street,0,4,4,,,,,,,,,,,,,,,
,Georgia,Moultrie,5/15/16,Rossman Dairy Road,5,0,5,,,,,,,,,,,,,,,
,Georgia,Atlanta,5/14/16,Cordova and Peoples Street,0,5,5,,,,,,,,,,,,,,,
,West Virginia,Charleston,5/14/16,2337 Washington St W,1,3,4,,,,,,,,,,,,,,,
,Alabama,Birmingham,5/11/16,1400 block of 21st Street N,1,4,5,,,,,,,,,,,,,,,
,Illinois,Chicago,5/11/16,7100 block of South State Street,0,5,5,,,,,,,,,,,,,,,
,Texas,Austin,5/8/16,8600 block of North Lamar,1,3,4,,,,,,,,,,,,,,,
,Michigan,Detroit,5/6/16,12300 block of Gratiot,1,4,5,,,,,,,,,,,,,,,
,Alabama,Montgomery,5/6/16,1300 block of Clay Street,1,3,4,,,,,,,,,,,,,,,
,Maryland,Bethesda,5/6/16,7101 Democracy Blvd,3,3,6,,,,,,,,,,,,,,,
,Louisiana,Shreveport,5/5/16,300 block of North Thomas Drive,2,6,8,,,,,,,,,,,,,,,
,Florida,Miami,5/5/16,2108 NW 19th Terrace,1,3,4,,,,,,,,,,,,,,,
,Minnesota,Minneapolis,5/4/16,16th Avenue North and Newton Avenue North,1,7,8,,,,,,,,,,,,,,,
,Tennessee,Murfreesboro,5/1/16,1955 Old Castle Drive,0,5,5,,,,,,,,,,,,,,,
,Missouri,St. Louis,4/29/16,400 block of N Dade Ave,0,4,4,,,,,,,,,,,,,,,
,California,Oakland,4/29/16,3200 block of San Pablo Avenue,0,5,5,,,,,,,,,,,,,,,
,Louisiana,Baton Rouge,4/27/16,4300  Block of Kerrit Dr,2,2,4,,,,,,,,,,,,,,,
,Mississippi,Kilmichael,4/27/16,Pecan Drive,3,1,4,,,,,,,,,,,,,,,
,Maryland,District Heights (Forestville),4/26/16,6500 block of Hil-Mar Drive,1,4,5,,,,,,,,,,,,,,,
,Tennessee,Nashville,4/25/16,400 Charlotte Avenue,0,4,4,,,,,,,,,,,,,,,
,Florida,Miami,4/25/16,1506 Northwest 70th Street,0,5,5,,,,,,,,,,,,,,,
,Virginia,Halifax,4/24/16,1055 L P Bailey Memorial Hwy,0,5,5,,,,,,,,,,,,,,,
,Illinois,Chicago,4/24/16,2000 block of West 68th Place,2,3,5,,,,,,,,,,,,,,,
,Colorado,Denver,4/24/16,1400 block of 14th Street,0,4,4,,,,,,,,,,,,,,,
,Nevada,Las Vegas,4/23/16,1650 South Hollywood Boulevard,1,3,4,,,,,,,,,,,,,,,
,Alabama,Auburn,4/23/16,1200 block of Lee Road 83,3,1,4,,,,,,,,,,,,,,,
,Kansas,Topeka,4/23/16,3732 S.W. Topeka Boulevard,1,4,5,,,,,,,,,,,,,,,
,New York,New York,4/23/16,West 141st Street and Edgecombe Avenue,0,4,4,,,,,,,,,,,,,,,
,Ohio,Piketon,4/22/16,4077 Union Hill Road,8,0,8,,,,,,,,,,,,,,,
,Georgia,Appling,4/22/16,3162 Johnson Drive,6,0,6,,,,,,,,,,,,,,,
,Maryland,Baltimore,4/21/16,4800 block of Frankford Avenue,0,4,4,,,,,,,,,,,,,,,
,Alabama,Blountsville,4/19/16,81551 Us Highway 278,1,4,5,,,,,,,,,,,,,,,
,Illinois,Chicago,4/19/16,2700 block of West 53rd Street,1,3,4,,,,,,,,,,,,,,,
,Illinois,Chicago,4/19/16,1400 block of West 84th Street,1,4,5,,,,,,,,,,,,,,,
,California,Long Beach,4/18/16,1200 block of E. 17th Street,1,3,4,,,,,,,,,,,,,,,
,Pennsylvania,Philadelphia,4/17/16,600 block of Westmoreland Street,3,1,4,,,,,,,,,,,,,,,
,South Carolina,Pelzer,4/17/16,200 block of Eastview Road,1,3,4,,,,,,,,,,,,,,,
,Texas,Edinburg,4/17/16,5021 W St Hwy 107,1,6,7,,,,,,,,,,,,,,,
,Michigan,Detroit,4/16/16,9500 block of Oakland,1,4,5,,,,,,,,,,,,,,,
,Florida,Orlando,4/16/16,1100 block of Conley Street,2,4,6,,,,,,,,,,,,,,,
,Alabama,Enterprise,4/16/16,Baxter Street,0,4,4,,,,,,,,,,,,,,,
,Wisconsin,Milwaukee,4/10/16,76th and Sheridan,1,3,4,,,,,,,,,,,,,,,
,California,Los Angeles,4/10/16,84th Street and Towne Avenue,0,4,4,,,,,,,,,,,,,,,
,Tennessee,Memphis,4/9/16,Mt Moriah Road and Ridgeway Road,0,4,4,,,,,,,,,,,,,,,
,Alabama,Anniston,4/9/16,West 15th Street and Crawford Avenue,0,4,4,,,,,,,,,,,,,,,
,New Mexico,Albuquerque,4/9/16,2600 block of Mesa Drive SE,0,4,4,,,,,,,,,,,,,,,
,Illinois,Chicago,4/7/16,2200 block of East 70th Place,0,4,4,,,,,,,,,,,,,,,
,Illinois,Chicago,3/31/16,6800 block of South Throop,0,4,4,,,,,,,,,,,,,,,
,Illinois,Chicago,3/25/16,4500 block of West West End Avenue,0,4,4,,,,,,,,,,,,,,,
,Colorado,Denver,3/25/16,8501 E. Alameda Avenue,0,4,4,,,,,,,,,,,,,,,
,Illinois,Chicago,3/21/16,5700 block of West Washington Boulevard,0,4,4,,,,,,,,,,,,,,,
,Florida,Plantation,3/19/16,12050 NW 4th Court,1,4,5,,,,,,,,,,,,,,,
,Alabama,Wetumpka,3/19/16,South Shelby Street,2,2,4,,,,,,,,,,,,,,,
,Georgia,Atlanta,3/15/16,Donald Lee Hollowell Drive,0,5,5,,,,,,,,,,,,,,,
,Florida,Fort Myers,3/13/16,50 South Road,0,4,4,,,,,,,,,,,,,,,
,Oregon,Portland,3/12/16,16126 S.E. Stark St.,0,4,4,,,,,,,,,,,,,,,
,California,Oakland,3/12/16,Interstate 880,0,4,4,,,,,,,,,,,,,,,
,Michigan,Detroit,3/11/16,2600 block of Hazelwood,2,2,4,,,,,,,,,,,,,,,
,New Jersey,Trenton,3/11/16,Oliver Avenue,0,5,5,,,,,,,,,,,,,,,
,Pennsylvania,Pittsburgh,3/9/16,1304 Franklin Ave,5,3,8,,,,,,,,,,,,,,,
,Texas,San Antonio,3/8/16,Sherman St,2,3,5,,,,,,,,,,,,,,,
,Louisiana,Lafayette,3/7/16,800 block of Martin Luther King Jr. Drive,0,4,4,,,,,,,,,,,,,,,
,Kansas,Kansas City,3/7/16,3000 block of South 36th Street,5,0,5,,,,,,,,,,,,,,,
,Massachusetts,Chelsea,3/6/16,120 Washington Avenue,1,6,7,,,,,,,,,,,,,,,
,Georgia,Roswell,3/6/16,890 Atlanta St,0,4,4,,,,,,,,,,,,,,,
,California,Compton,3/6/16,900 block of West Victoria Street,1,8,9,,,,,,,,,,,,,,,
,Kansas,Wichita,3/5/16,116 North Mead,0,4,4,,,,,,,,,,,,,,,
,Ohio,Columbus,3/4/16,900 E 5th Ave,1,3,4,,,,,,,,,,,,,,,
,Michigan,Detroit,2/28/16,8800 block of Livernois,0,5,5,,,,,,,,,,,,,,,
,California,Riverside,2/28/16,5500 block of Etiwanda Avenue,1,3,4,,,,,,,,,,,,,,,
,Virginia,Woodbridge (Lake Ridge),2/27/16,13051 Lashmere Ct,2,2,4,,,,,,,,,,,,,,,
,Washington,Belfair,2/26/16,300 block of Horseshoe Rd.,5,0,5,,,,,,,,,,,,,,,
,Kansas,Hesston,2/25/16,200 S Ridge Rd,4,14,18,,,,,,,,,,,,,,,
,Arizona,Glendale,2/23/16,4812 West Sunnyside Ave,5,0,5,,,,,,,,,,,,,,,
,Florida,Daytona Beach,2/23/16,1042 Sheridan Road,0,4,4,,,,,,,,,,,,,,,
,Missouri,Hazelwood,2/21/16,Interstate Highway 270 and North Lindbergh Boulevard,1,3,4,,,,,,,,,,,,,,,
,Texas,Houston,2/21/16,5100 block of Idaho Street,0,5,5,,,,,,,,,,,,,,,
,Florida,Tampa,2/20/16,2810 E. Bearss Ave,1,3,4,,,,,,,,,,,,,,,
,Michigan,Kalamazoo,2/20/16,5581 Cracker Barrel Blvd,6,2,8,,,,,,,,,,,,,,,
,Mississippi,Iuka,2/20/16,231 Co Rd 201,2,3,5,,,,,,,,,,,,,,,
,Alabama,Bessemer,2/20/16,200 block of Elm Street,1,3,4,,,,,,,,,,,,,,,
,Florida,Orlando,2/20/16,446 S Parramore Ave,0,4,4,,,,,,,,,,,,,,,
,Missouri,Edgerton,2/19/16,4100 block of Buena Vista Road,4,0,4,,,,,,,,,,,,,,,
,California,Vallejo,2/19/16,509 Porter Street,1,3,4,,,,,,,,,,,,,,,
,Texas,Houston,2/14/16,8449 Gulf Freeway,1,3,4,,,,,,,,,,,,,,,
,Alabama,Eutaw (Union),2/14/16,Earnest Friday Road,0,5,5,,,,,,,,,,,,,,,
,Louisiana,Marrero,2/13/16,5425 Lapalco Boulevard,0,4,4,,,,,,,,,,,,,,,
,Mississippi,Pass Christian,2/7/16,Davis Avenue,2,4,6,,,,,,,,,,,,,,,
,Florida,Orlando,2/7/16,7432 Universal Blvd,2,10,12,,,,,,,,,,,,,,,
,New York,Rochester,2/7/16,547 State St,1,7,8,,,,,,,,,,,,,,,
,Illinois,Chicago,2/7/16,6500 block of South Green Street,0,4,4,,,,,,,,,,,,,,,
,California,Los Angeles,2/6/16,12800 block of Cook Street,1,3,4,,,,,,,,,,,,,,,
,Florida,Apopka,2/6/16,10th Street,0,4,4,,,,,,,,,,,,,,,
,Florida,Tampa,2/6/16,8123 N Nebraska Ave,2,6,8,,,,,,,,,,,,,,,
,District of Columbia,Washington,2/3/16,1500 block of Butler St. SE,0,4,4,,,,,,,,,,,,,,,
,Arizona,Glendale,1/30/16,67th and Missouri Avenue,3,5,8,,,,,,,,,,,,,,,
